"Alpha Phi Alpha Fraternity Inc., Alpha Epsilon Chapter"
Toppa@Berkeley
Wave Makers of Berkeley
Swim Club at Berkeley
Anti-Trafficking Coalition at Berkeley
Global Medical Missions Alliance Berkeley
Cal Rotaract
Foresight Pre-Optometry Club
Cal Berkeley Democrats
Financial Literacy and Economic Justice Conference
Dil Se
Ladies for Change
Bears Closet
California Mock Trial
People's Test Preparation Services
Elections
Parliamentary Debate at Berkeley
Natya at Berkeley
Volunteer Health Interpreters Organization
Student Advocate's Office
"Asha for Education, Berkeley"
The Heuristic Squelch
Black Student Union
Lindy on Sproul
Korean Performance Group
Raas Ramzat
CalTV
Koinonia
Phi Delta Epsilon
The Berkeley Forum
Berkeley Medical Reserve Corps
International Relations Council of Berkeley
Southeast Asian Student Coalition
Jain Students Association
TBD Comedy
Kidney Disease Screening and Awareness Program
South Indian Society
Bangali Student Association at Berkeley
Berkeley College Republicans
Blood Pressure Project
Indian Students Association
threads (formerly al-Bayan)
T-Cal
Argentine Tango Club of Berkeley
Queer Alliance & Resource Center
Berkeley Scientific Journal
Academic Cultural Enrichment Coaches
Community Projects
ANova
Cal Berkeley Habitat for Humanity
Engineers and Mentors of Berkeley
The Sage Mentorship Project